Item Name,Category,Quantity,Date Received
Dell Laptop XPS 13,Electronics,25,2024-01-15
Ergonomic Office Chair,Furniture,50,2023-10-20
Wireless Mouse Logitech,Electronics,100,2024-02-01
Height Adjustable Desk,Furniture,15,2023-08-15
HP LaserJet Printer,Electronics,8,2023-07-10
Conference Table 8-Seater,Furniture,5,2023-06-05
Samsung Galaxy Phone,Electronics,30,2024-01-20
Mechanical Keyboard RGB,Electronics,75,2023-12-01
Wooden Bookshelf 5-Tier,Furniture,20,2023-09-10
4K Monitor 27 inch,Electronics,40,2024-01-05
Office Stationery Kit,Supplies,200,2023-11-15
Magnetic Whiteboard,Supplies,12,2023-05-20
Smart Projector 4K,Electronics,6,2023-04-10
Metal Filing Cabinet,Furniture,18,2023-08-25
HD Webcam 1080p,Electronics,35,2024-02-10
LED Desk Lamp,Furniture,60,2023-12-15
iPad Pro 12.9 inch,Electronics,22,2024-01-25
Industrial Paper Shredder,Electronics,10,2023-09-05
Commercial Coffee Machine,Appliances,3,2023-03-15
Stainless Steel Microwave,Appliances,2,2023-02-20
Server Rack 42U,IT Equipment,4,2023-01-10
Network Switch 24-Port,IT Equipment,8,2023-05-15
UPS 2000VA Battery Backup,IT Equipment,12,2023-07-20
CCTV Camera System,Security,6,2023-04-25
Biometric Access Control,Security,3,2023-06-30
Bluetooth Speakers,Electronics,45,2024-01-10
Executive Office Chair,Furniture,25,2023-11-05
Portable Hard Drive 2TB,Electronics,80,2024-02-15
Reception Desk Modern,Furniture,2,2023-09-20
Laser Barcode Scanner,Electronics,15,2023-12-10